"date per day","Count of records"
"2017-01-29",6
"2017-01-30",2
"2017-01-31",0
"2017-02-01",5
"2017-02-02",4
"2017-02-03",12
"2017-02-04",2
"2017-02-05",2
"2017-02-06",18
"2017-02-07",0
"2017-02-08",50
"2017-02-09",29
"2017-02-10",4
"2017-02-11",6
"2017-02-12",0
"2017-02-13",28
"2017-02-14",3
"2017-02-15",46
"2017-02-16",6
"2017-02-17",28
"2017-02-18",3
"2017-02-19",0
"2017-02-20",25
"2017-02-21",30
"2017-02-22",5
"2017-02-23",22
"2017-02-24",4
"2017-02-25",0
"2017-02-26",1
"2017-02-27",14
"2017-02-28",5
"2017-03-01",34
"2017-03-02",34
"2017-03-03",29
"2017-03-04",0
"2017-03-05",28
"2017-03-06",4
"2017-03-07",93
"2017-03-08",13
"2017-03-09",37
"2017-03-10",15
"2017-03-11",18
"2017-03-12",0
"2017-03-13",10
"2017-03-14",27
"2017-03-15",68
"2017-03-16",146
"2017-03-17",30
"2017-03-18",2
"2017-03-19",3
"2017-03-20",28
"2017-03-21",19
"2017-03-22",21
"2017-03-23",25
"2017-03-24",26
"2017-03-25",0
"2017-03-26",17
"2017-03-27",35
"2017-03-28",8
"2017-03-29",17
"2017-03-30",15
"2017-03-31",26
"2017-04-01",114
"2017-04-02",1
"2017-04-03",26
"2017-04-04",15
"2017-04-05",30
"2017-04-06",19
"2017-04-07",80
"2017-04-08",3
"2017-04-09",23
"2017-04-10",21
"2017-04-11",15
"2017-04-12",128
"2017-04-13",4
"2017-04-14",36
"2017-04-15",3
"2017-04-16",3
"2017-04-17",10
"2017-04-18",13
"2017-04-19",15
"2017-04-20",36
"2017-04-21",6
"2017-04-22",4
"2017-04-23",18
"2017-04-24",255
"2017-04-25",32
"2017-04-26",15
"2017-04-27",14
"2017-04-28",63
"2017-04-29",7
"2017-04-30",35
"2017-05-01",21
"2017-05-02",12
"2017-05-03",27
"2017-05-04",11
"2017-05-05",50
"2017-05-06",0
"2017-05-07",5
"2017-05-08",24
"2017-05-09",35
"2017-05-10",28
"2017-05-11",14
"2017-05-12",131
"2017-05-13",0
"2017-05-14",4
"2017-05-15",27
"2017-05-16",17
"2017-05-17",24
"2017-05-18",46
"2017-05-19",18
"2017-05-20",1
"2017-05-21",40
"2017-05-22",170
"2017-05-23",18
"2017-05-24",17
"2017-05-25",9
"2017-05-26",25
"2017-05-27",3
"2017-05-28",10
"2017-05-29",18
"2017-05-30",21
"2017-05-31",2
"2017-06-01",10
"2017-06-02",36
"2017-06-03",2
"2017-06-04",5
"2017-06-05",26
"2017-06-06",16
"2017-06-07",29
"2017-06-08",29
"2017-06-09",29
"2017-06-10",1
"2017-06-11",2
"2017-06-12",24
"2017-06-13",77
"2017-06-14",131
"2017-06-15",15
"2017-06-16",61
"2017-06-17",2
"2017-06-18",2
"2017-06-19",48
"2017-06-20",21
"2017-06-21",31
"2017-06-22",13
"2017-06-23",16
"2017-06-24",5
"2017-06-25",7
"2017-06-26",25
"2017-06-27",29
"2017-06-28",19
"2017-06-29",57
"2017-06-30",9
"2017-07-01",5
"2017-07-02",11
"2017-07-03",30
"2017-07-04",19
"2017-07-05",165
"2017-07-06",65
"2017-07-07",66
"2017-07-08",8
"2017-07-09",9
"2017-07-10",28
"2017-07-11",68
"2017-07-12",32
"2017-07-13",88
"2017-07-14",63
"2017-07-15",0
"2017-07-16",17
"2017-07-17",58
"2017-07-18",27
"2017-07-19",28
"2017-07-20",83
"2017-07-21",28
"2017-07-22",32
"2017-07-23",25
"2017-07-24",18
"2017-07-25",31
"2017-07-26",36
"2017-07-27",26
"2017-07-28",29
"2017-07-29",12
"2017-07-30",40
"2017-07-31",35
"2017-08-01",28
"2017-08-02",53
"2017-08-03",14
"2017-08-04",36
"2017-08-05",29
"2017-08-06",18
"2017-08-07",78
"2017-08-08",298
"2017-08-09",51
"2017-08-10",15
"2017-08-11",91
"2017-08-12",0
"2017-08-13",0
"2017-08-14",19
"2017-08-15",6
"2017-08-16",9
"2017-08-17",38
"2017-08-18",80
"2017-08-19",5
"2017-08-20",24
"2017-08-21",16
"2017-08-22",21
"2017-08-23",28
"2017-08-24",21
"2017-08-25",18
"2017-08-26",1
"2017-08-27",4
"2017-08-28",55
"2017-08-29",61
"2017-08-30",42
"2017-08-31",30
"2017-09-01",28
"2017-09-02",4
"2017-09-03",9
"2017-09-04",12
"2017-09-05",26
"2017-09-06",6
"2017-09-07",54
"2017-09-08",65
"2017-09-09",5
"2017-09-10",2
"2017-09-11",75
"2017-09-12",129
"2017-09-13",37
"2017-09-14",129
"2017-09-15",22
"2017-09-16",0
"2017-09-17",27
"2017-09-18",50
"2017-09-19",18
"2017-09-20",26
"2017-09-21",78
"2017-09-22",38
"2017-09-23",11
"2017-09-24",0
"2017-09-25",34
"2017-09-26",20
"2017-09-27",39
"2017-09-28",37
"2017-09-29",45
"2017-09-30",2
"2017-10-01",9
"2017-10-02",53
"2017-10-03",83
"2017-10-04",17
"2017-10-05",42
"2017-10-06",29
"2017-10-07",0
"2017-10-08",0
"2017-10-09",11
"2017-10-10",77
"2017-10-11",49
"2017-10-12",20
"2017-10-13",86
"2017-10-14",5
"2017-10-15",9
"2017-10-16",24
"2017-10-17",39
"2017-10-18",20
"2017-10-19",222
"2017-10-20",13
"2017-10-21",12
"2017-10-22",147
"2017-10-23",28
"2017-10-24",23
"2017-10-25",9
"2017-10-26",25
"2017-10-27",102
"2017-10-28",3
"2017-10-29",29
"2017-10-30",12
"2017-10-31",52
"2017-11-01",25
"2017-11-02",23
"2017-11-03",47
"2017-11-04",3
"2017-11-05",4
"2017-11-06",27
"2017-11-07",45
"2017-11-08",20
"2017-11-09",27
"2017-11-10",14
"2017-11-11",0
"2017-11-12",68
"2017-11-13",36
"2017-11-14",75
"2017-11-15",42
"2017-11-16",158
"2017-11-17",63
"2017-11-18",3
"2017-11-19",2
"2017-11-20",24
"2017-11-21",18
"2017-11-22",162
"2017-11-23",7
"2017-11-24",6
"2017-11-25",5
"2017-11-26",1
"2017-11-27",52
"2017-11-28",18
"2017-11-29",16
"2017-11-30",54
"2017-12-01",42
"2017-12-02",5
"2017-12-03",9
"2017-12-04",22
"2017-12-05",60
"2017-12-06",57
"2017-12-07",27
"2017-12-08",30
"2017-12-09",87
"2017-12-10",16
"2017-12-11",37
"2017-12-12",62
"2017-12-13",99
"2017-12-14",32
"2017-12-15",38
"2017-12-16",4
"2017-12-17",5
"2017-12-18",30
"2017-12-19",19
"2017-12-20",143
"2017-12-21",32
"2017-12-22",42
"2017-12-23",23
"2017-12-24",13
"2017-12-25",44
"2017-12-26",15
"2017-12-27",13
"2017-12-28",27
